       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
    132.000     4.9873     4.9873   3.341628   3.341934     2.4824    -0.2596     0.3956    34.9000 6.9144e+02    130.697    34.8976    34.9011     6.4827    1472.71    27.5968    27.5995
    133.000     4.9776     4.9776   3.340672   3.340971     2.4812    -0.2731     0.3926    34.8988 7.0194e+02    131.686    34.8961    34.8996     6.4813    1472.69    27.5968    27.5995
    134.000     4.9328     4.9312   3.336158   3.336468     2.4811    -0.2548     0.3971    34.8955 6.9413e+02    132.676    34.8902    34.8954     6.4897    1472.51    27.5972    27.6016
    135.000     4.9185     4.9186   3.334917   3.335320     2.4822    -0.2546     0.4030    34.8948 6.8839e+02    133.666    34.8902    34.8948     6.4967    1472.47    27.5989    27.6026
    136.000     4.8971     4.8967   3.332658   3.333100     2.4841    -0.2592     0.3998    34.8921 6.8583e+02    134.656    34.8859    34.8914     6.5076    1472.40    27.5980    27.6024
    137.000     4.9096     4.9098   3.334311   3.334496     2.4850    -0.2654     0.3941    34.8923 6.9773e+02    135.646    34.8915    34.8934     6.5088    1472.47    27.6010    27.6025
    138.000     4.9064     4.8969   3.332877   3.333159     2.4822    -0.2508     0.3973    34.8893 7.0426e+02    136.635    34.8776    34.8908     6.5017    1472.46    27.5904    27.6019
    139.000     4.8571     4.8573   3.329158   3.329434     2.4809    -0.2595     0.3996    34.8890 6.9364e+02    137.625    34.8856    34.8886     6.5063    1472.28    27.6024    27.6047
    140.000     4.8505     4.8506   3.328473   3.328735     2.4788    -0.2825     0.4006    34.8874 6.8222e+02    138.615    34.8840    34.8869     6.5013    1472.27    27.6018    27.6042
    141.000     4.8601     4.8633   3.329396   3.330022     2.4709    -0.2880     0.3922    34.8862 6.8746e+02    139.605    34.8842    34.8881     6.4746    1472.33    27.6009    27.6036
    142.000     4.7943     4.7957   3.322686   3.323273     2.4664    -0.3038     0.3924    34.8803 6.9894e+02    140.594    34.8745    34.8799     6.4722    1472.06    27.6008    27.6049
    143.000     4.7899     4.7940   3.322572   3.323132     2.4568    -0.3171     0.3902    34.8797 6.9695e+02    141.584    34.8773    34.8795     6.4419    1472.06    27.6035    27.6047
    144.000     4.7661     4.7633   3.320285   3.320400     2.4503    -0.3086     0.3928    34.8780 6.9311e+02    142.574    34.8752    34.8794     6.4255    1471.98    27.6045    27.6082
    145.000     4.7663     4.7665   3.320552   3.320736     2.4491    -0.3218     0.3909    34.8790 6.8777e+02    143.564    34.8775    34.8795     6.4220    1472.00    27.6063    27.6079
    146.000     4.7680     4.7680   3.320770   3.320962     2.4478    -0.3332     0.3880    34.8794 6.8341e+02    144.553    34.8777    34.8799     6.4183    1472.02    27.6063    27.6081
    147.000     4.7630     4.7629   3.320287   3.320497     2.4453    -0.3305     0.3885    34.8788 6.8299e+02    145.543    34.8768    34.8794     6.4119    1472.02    27.6062    27.6082
    148.000     4.7639     4.7604   3.320469   3.320328     2.4411    -0.3208     0.3902    34.8785 6.9996e+02    146.533    34.8774    34.8794     6.3985    1472.04    27.6066    27.6085
    149.000     4.7543     4.7540   3.319706   3.319814     2.4391    -0.3284     0.3881    34.8787 6.8799e+02    147.523    34.8780    34.8797     6.3943    1472.02    27.6081    27.6095
    150.000     4.7435     4.7437   3.318579   3.318947     2.4381    -0.3327     0.3838    34.8786 6.7940e+02    148.512    34.8758    34.8799     6.3937    1471.99    27.6076    27.6108
    151.000     4.7346     4.7345   3.318054   3.318227     2.4357    -0.3319     0.3902    34.8795 6.8320e+02    149.502    34.8785    34.8806     6.3879    1471.97    27.6108    27.6124
    152.000     4.7424     4.7423   3.319043   3.319203     2.4311    -0.3498     0.3881    34.8816 7.0593e+02    150.492    34.8813    34.8832     6.3723    1472.02    27.6121    27.6136
    153.000     4.7474     4.7472   3.319687   3.319841     2.4287    -0.3387     0.4002    34.8832 6.9770e+02    151.482    34.8830    34.8850     6.3642    1472.06    27.6129    27.6146
    154.000     4.7521     4.7518   3.320272   3.320385     2.4251    -0.3362     0.3904    34.8842 6.8639e+02    152.471    34.8843    34.8860     6.3523    1472.10    27.6134    27.6148
